type,Difficulty,Category,Question,Correct Answer,incorrect_answers,options
multiple,medium,General Knowledge,What is the average life span of a garden ant?,15 years,"['24 hours', '1 week', '3 years']","['24 hours', '3 years', '1 week', '15 years']"
multiple,easy,Entertainment: Video Games,Which Elite Four member from the first generation of Pok&eacute;mon became the champion in the next generation?,Lance,"['Agatha', 'Bruno', 'Lorelei']","['Lorelei', 'Agatha', 'Lance', 'Bruno']"
multiple,hard,History,How many sonatas did Ludwig van Beethoven write?,32,"['50', '31', '21']","['21', '50', '32', '31']"
multiple,medium,Entertainment: Video Games,"What is the perk that was introduced in the &quot;Call Of Duty: Zombies&quot; map, &quot;Mob Of The Dead&quot;?",Electric Cherry,"['Quick Revive', 'Vulture Aid', 'Tombstone']","['Electric Cherry', 'Tombstone', 'Quick Revive', 'Vulture Aid']"
multiple,easy,General Knowledge,Which sign of the zodiac is represented by the Crab?,Cancer,"['Libra', 'Virgo', 'Sagittarius']","['Virgo', 'Sagittarius', 'Cancer', 'Libra']"
multiple,medium,Sports,Who won the &quot;Champions League&quot; in 1999?,Manchester United,"['Barcelona', 'Bayern Munich', 'Liverpool']","['Barcelona', 'Manchester United', 'Liverpool', 'Bayern Munich']"
multiple,hard,Entertainment: Music,Which song in rapper Kanye West&#039;s album &quot;The Life of Pablo&quot; features Rihanna?,Famous,"['Wolves', 'Ultralight Beam', 'Highlights']","['Highlights', 'Wolves', 'Ultralight Beam', 'Famous']"
multiple,medium,Science: Computers,What was the name given to Android 4.3?,Jelly Bean,"['Lollipop', 'Nutella', 'Froyo']","['Jelly Bean', 'Nutella', 'Froyo', 'Lollipop']"
multiple,hard,Science &amp; Nature,What is &quot;Stenoma&quot;?,A genus of moths,"['A combat stimulant from WW2', 'A type of seasoning', 'A port city in the carribean']","['A genus of moths', 'A type of seasoning', 'A combat stimulant from WW2', 'A port city in the carribean']"
multiple,medium,Sports,Who won the 2018 Monaco Grand Prix?,Daniel Ricciardo,"['Sebastian Vettel', 'Kimi Raikkonen', 'Lewis Hamilton']","['Daniel Ricciardo', 'Lewis Hamilton', 'Kimi Raikkonen', 'Sebastian Vettel']"
multiple,medium,Science: Computers,.rs is the top-level domain for what country?,Serbia,"['Romania', 'Russia', 'Rwanda']","['Russia', 'Serbia', 'Rwanda', 'Romania']"
boolean,medium,Entertainment: Television,"In &quot;Star Trek&quot;, Klingons respect William Shakespeare, they even suspect him having a Klingon lineage.",True,['False'],"['True', 'False']"
multiple,hard,General Knowledge,What year was the RoboSapien toy robot released?,2004,"['2000', '2001', '2006']","['2000', '2006', '2001', '2004']"
multiple,medium,Entertainment: Film,"In &quot;Jurassic World&quot;, which company purchases InGen and creates Jurassic World?",Masrani Global Corporation ,"['Biology Synthetics Technologies', 'International Genetics Incorporated', 'International Genetic Technologies']","['International Genetic Technologies', 'Biology Synthetics Technologies', 'International Genetics Incorporated', 'Masrani Global Corporation ']"
multiple,medium,Entertainment: Video Games,What character is NOT apart of the Grand Theft Auto series?,Michael Cardenas,"['Packie McReary', 'Tommy Vercetti', 'Lester Crest']","['Lester Crest', 'Michael Cardenas', 'Tommy Vercetti', 'Packie McReary']"
multiple,hard,Animals,What is the scientific name of the cheetah?,Acinonyx jubatus,"['Panthera onca', 'Lynx rufus', 'Felis catus']","['Felis catus', 'Acinonyx jubatus', 'Panthera onca', 'Lynx rufus']"
boolean,medium,General Knowledge,The French word to travel is &quot;Travail&quot;,False,['True'],"['False', 'True']"
multiple,easy,General Knowledge,Which candy is NOT made by Mars?,Almond Joy,"['M&amp;M&#039;s', 'Twix', 'Snickers']","['Twix', 'Almond Joy', 'M&amp;M&#039;s', 'Snickers']"
multiple,hard,History,What was the original name of New York City?,New Amsterdam,"['New London', 'New Paris', 'New Rome']","['New Amsterdam', 'New Paris', 'New Rome', 'New London']"
multiple,medium,Geography,What is the busiest port in Europe?,Port of Rotterdam,"['Port of Antwerp', 'Port of Hamburg', 'Port of Amsterdam']","['Port of Antwerp', 'Port of Rotterdam', 'Port of Amsterdam', 'Port of Hamburg']"
multiple,easy,Science: Computers,How long is an IPv6 address?,128 bits,"['32 bits', '64 bits', '128 bytes']","['128 bytes', '64 bits', '128 bits', '32 bits']"
multiple,medium,Entertainment: Music,Which famous 90&#039;s rap album is commonly referred to as &quot;The Bible of Hip Hop&quot;?,Illmatic,"['The Low End Theory', 'The Chronic', 'Enter The Wu-Tang (36 Chambers)']","['Illmatic', 'The Chronic', 'The Low End Theory', 'Enter The Wu-Tang (36 Chambers)']"
multiple,easy,Politics,Which former US president was nicknamed &quot;Teddy&quot; after he refused to shoot a defenseless black bear?,Theodore Roosevelt,"['Woodrow Wilson', 'James F. Fielder', 'Andrew Jackson']","['Theodore Roosevelt', 'Andrew Jackson', 'Woodrow Wilson', 'James F. Fielder']"
multiple,medium,Science &amp; Nature,About how old is Earth?,4.5 Billion Years,"['3.5 Billion Years', '2.5 Billion Years', '5.5 Billion Years']","['3.5 Billion Years', '2.5 Billion Years', '5.5 Billion Years', '4.5 Billion Years']"
multiple,hard,Entertainment: Video Games,How many total monsters appear in Monster Hunter Generations?,105,"['100', '98', '73']","['73', '98', '100', '105']"
boolean,easy,Science: Computers,Time on Computers is measured via the EPOX System.,False,['True'],"['True', 'False']"
multiple,hard,Entertainment: Video Games,Which retro video game was released first?,Space Invaders,"['Galaga', 'Pac-Man', 'Asteroids']","['Pac-Man', 'Space Invaders', 'Asteroids', 'Galaga']"
multiple,medium,General Knowledge,What does the &quot;G&quot; mean in &quot;G-Man&quot;?,Government,"['Going', 'Ghost', 'Geronimo']","['Geronimo', 'Going', 'Ghost', 'Government']"
multiple,medium,Geography,What is the capital of Slovakia?,Bratislava,"['Sofia', 'Ljubljana', 'Sarajevo']","['Bratislava', 'Ljubljana', 'Sofia', 'Sarajevo']"
multiple,easy,Entertainment: Video Games,The &ldquo;fairy&rdquo; type made it&rsquo;s debut in which generation of the Pokemon core series games?,6th,"['2nd', '7th', '4th']","['4th', '7th', '6th', '2nd']"
multiple,medium,Entertainment: Music,Which country does the power metal band &quot;Sabaton&quot; originate from?,Sweden,"['Germany', 'United States', 'Finland']","['United States', 'Germany', 'Sweden', 'Finland']"
multiple,hard,Science: Mathematics,The decimal number 31 in hexadecimal would be what?,1F,"['3D', '2E', '1B']","['1B', '3D', '2E', '1F']"
multiple,hard,Entertainment: Video Games,What is the main theme song of &quot;Sonic Adventure 2&quot;?,Live and Learn,"['Open Your Heart', 'Can You Feel the Sunshine?', 'His World']","['Can You Feel the Sunshine?', 'His World', 'Live and Learn', 'Open Your Heart']"
multiple,medium,Entertainment: Comics,Who created Ultron of Earth-616?,Henry Pym,"['Amadeus Cho', 'Tony Stark', 'Reed Richards']","['Tony Stark', 'Reed Richards', 'Amadeus Cho', 'Henry Pym']"
multiple,medium,Entertainment: Video Games,Which of these games was NOT a Nintendo Switch launch title in the United States? ,Voez,"['Just Dance 2017', 'Snipperclips', 'Fast RMX']","['Voez', 'Snipperclips', 'Just Dance 2017', 'Fast RMX']"
boolean,easy,Animals,Rabbits can see what&#039;s behind themselves without turning their heads.,True,['False'],"['True', 'False']"
boolean,easy,Entertainment: Television,"In &quot;Star Trek&quot;, Klaang is a typical Klingon male.",True,['False'],"['False', 'True']"
multiple,hard,History,The Battle of Hastings was fought in which year?,1066,"['911', '1204', '1420']","['1204', '1420', '1066', '911']"
multiple,easy,Art,Who painted &quot;The Starry Night&quot;?,Vincent van Gogh,"['Edvard Munch', 'Pablo Picasso', 'Claude Monet']","['Pablo Picasso', 'Claude Monet', 'Vincent van Gogh', 'Edvard Munch']"
multiple,hard,Entertainment: Video Games,The Bracken from Lethal Company is also known as:,The Flower Man,"['The Phantom', 'The Shadow Demon', 'Larry']","['Larry', 'The Flower Man', 'The Shadow Demon', 'The Phantom']"
multiple,medium,Geography,All of the following are towns/villages in the Pacific Island nation of Kiribati EXCEPT:,Urutora,"['Rungata', 'London', 'Washington']","['Washington', 'Urutora', 'London', 'Rungata']"
multiple,hard,Entertainment: Video Games,"In &quot;Sonic the Hedgehog 3&quot; for the Sega Genesis, what is the color of the second Chaos Emerald you can get from Special Stages?",Orange,"['Blue', 'Green', 'Magenta']","['Blue', 'Green', 'Magenta', 'Orange']"
boolean,easy,Science &amp; Nature,A plant that has a life cycle for more than a year is known as an annual.,False,['True'],"['False', 'True']"
multiple,easy,Entertainment: Music,"Which punk rock band released hit songs such as &quot;Californication&quot;, &quot;Can&#039;t Stop&quot; and &quot;Under the Bridge&quot;?",Red Hot Chilli Peppers,"['Green Day', 'Linkin Park', 'Foo Fighters']","['Linkin Park', 'Foo Fighters', 'Green Day', 'Red Hot Chilli Peppers']"
multiple,hard,Science &amp; Nature,What is considered the rarist form of color blindness?,Blue,"['Red', 'Green', 'Purple']","['Blue', 'Green', 'Red', 'Purple']"
multiple,hard,History,"After the 1516 Battle of Marj Dabiq, the Ottoman Empire took control of Jerusalem from which sultanate?",Mamluk,"['Ayyubid', 'Ummayyad', 'Seljuq']","['Ummayyad', 'Mamluk', 'Ayyubid', 'Seljuq']"
multiple,hard,Geography,What is Canada&#039;s largest island?,Baffin Island,"['Prince Edward Island', 'Vancouver Island', 'Newfoundland']","['Newfoundland', 'Vancouver Island', 'Prince Edward Island', 'Baffin Island']"
boolean,easy,Entertainment: Video Games,"Ana was added as a new hero for the game Overwatch on July 19th, 2016.",True,['False'],"['False', 'True']"
multiple,hard,Entertainment: Video Games,Which of the following games was NOT included in Valve&#039;s Orange Box?,Counter-Strike,"['Portal', 'Half-Life 2: Episode Two', 'Team Fortress 2']","['Half-Life 2: Episode Two', 'Counter-Strike', 'Portal', 'Team Fortress 2']"
multiple,hard,Entertainment: Video Games,"In the game Nuclear Throne, what organization chases the player character throughout the game?",The I.D.P.D,"['The Fishmen', 'The Bandits', 'The Y.V.G.G']","['The Bandits', 'The Y.V.G.G', 'The I.D.P.D', 'The Fishmen']"
